created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 22 04:11:01 +0000 2023;1,71594E+18;APPI Sebut Kredit Kendaraan Listrik Masih Kecil, Kenapa Ya? https://t.co/MiMQkiTxvo;0;0;1;0;in;8,47373E+17;1,71594E+18;cnbcindonesia;https://twitter.com/cnbcindonesia/status/1715943816556171513
Sat Oct 21 08:50:41 +0000 2023;1,71565E+18;Lagi pula kita lagi pelan2 migrasi ke kendaraan listrik.  Kenapa?  Cadangan minyak bumi Indonesia udh mau abis. Klo abis gimana? Hrs impor. Mahal lagi biayanya. Trs lu orang msh minta subsidi. Uangnya dari mana? Ngutang protes. Subsidi ditarik protes. Lu orang maunya apa?;0;1;0;0;in;1,071E+18;1,71565E+18;unrestrictedvan;https://twitter.com/unrestrictedvan/status/1715651810067882481
Sat Oct 21 06:49:17 +0000 2023;1,71562E+18;ABeam Consulting Indonesia Terbitkan Laporan untuk Tingkatkan Penggunaan Kendaraan Listrik di Indonesia Sabtu, 21/10/2023, 09:40 WIB https://t.co/qRLJygNx18;0;0;0;0;in;305657272;1,71562E+18;ilhamiasnawi;https://twitter.com/ilhamiasnawi/status/1715621258434580882
Sat Oct 21 01:04:35 +0000 2023;1,71553E+18;Kendaraan Listrik Tetap Keluarkan Emisi, Kok Bisa? https://t.co/SuifLobqqv;0;1;0;5;in;17128975;1,71553E+18;CNNIndonesia;https://twitter.com/CNNIndonesia/status/1715534510425841764
Sat Oct 21 01:00:57 +0000 2023;1,71553E+18;Mendag @ZUL_Hasan mengajak para produsen kendaraan listrik Tiongkok untuk berproduksi di Indonesia.   #NegosiasiDagang #AyoDagang https://t.co/gJofoghRvW;0;2;1;2;in;121293218;1,71553E+18;Kemendag;https://twitter.com/Kemendag/status/1715533597162312073
Fri Oct 20 23:44:12 +0000 2023;1,71551E+18;Mendag Zulhas Rayu China untuk Produksi Kendaraan Listrik di Indonesia https://t.co/vI7zz9S25L;0;0;0;0;in;1,60767E+18;1,71551E+18;EditorialKaltim;https://twitter.com/EditorialKaltim/status/1715514284435009707
Fri Oct 20 15:48:16 +0000 2023;1,71539E+18;Pertemuan Indonesia dengan China (Chongqing) terkait industri kendaraan listrik menjadi peluang yang sangat baik bagi Indonesia dengan China untuk berinovasi dan meningkatkan ekonomi kedua negara. #bambangsuwarso #indonesiachina #EnergiTerbarukan  #indonesiaemas2045 https://t.co/KNDYbIIBit;0;0;0;0;in;1,64947E+18;1,71539E+18;BambangSwrso;https://twitter.com/BambangSwrso/status/1715394511244029981
Fri Oct 20 13:18:05 +0000 2023;1,71536E+18;Hasil Survei Kecemasan Warga Indonesia Soal Kendaraan Listrik https://t.co/kmxlPlCsej;0;0;0;3;in;17128975;1,71536E+18;CNNIndonesia;https://twitter.com/CNNIndonesia/status/1715356716668522521
Fri Oct 20 11:30:03 +0000 2023;1,71533E+18;Bidang investasi hilirisasi mencakup mineral, pertanian, kehutanan, migas, dan kendaraan listrik. https://t.co/1wjO6OXBKC;0;0;0;0;in;8,74558E+17;1,71533E+18;validnewsid;https://twitter.com/validnewsid/status/1715329529529692554
Fri Oct 20 11:18:19 +0000 2023;1,71533E+18;Sudah saatnya Indonesia punya mobil listrik, Menteri Perdagangan  Zulkifli Hasan menawarkan NIO untuk menjadi mobil listrik Indonesia yang diproduksi di dalam negeri   Ini untuk memastikan masyarakat bisa mendapatkan kendaraan listrik berkualitas dengan harga terjangkau https://t.co/jfB3iUmQjD;0;8;7;24;in;9,47632E+17;1,71533E+18;KangManto123;https://twitter.com/KangManto123/status/1715326573585539137
Fri Oct 20 11:06:34 +0000 2023;1,71532E+18;Menteri Perdagangan Zulkifli Hasan (Zulhas) mengajak para produsen kendaraan listrik Tiongkok berproduksi di Indonesia. #bisnisupdate #update #bisnis #text https://t.co/pdPzPZHzyO;0;0;1;0;in;7,59693E+17;1,71532E+18;kumparan;https://twitter.com/kumparan/status/1715323619528876403
Fri Oct 20 10:25:23 +0000 2023;1,71531E+18;Bamsoet Cerita Suka Duka EV : Indonesia Terlambat Adopsi Kendaraan Listrik https://t.co/GMqXa91T4I;0;0;0;0;in;165466696;1,71531E+18;indobc_id;https://twitter.com/indobc_id/status/1715313255974121618
Fri Oct 20 08:10:11 +0000 2023;1,71528E+18;AC Ventures Bidik Potensi Pengembangan Ekosistem Kendaraan Listrik Indonesia https://t.co/8IvFmQKFMg #TrenAsia;0;0;0;0;in;1,6757E+18;1,71528E+18;trenasiadotcom;https://twitter.com/trenasiadotcom/status/1715279229410267608
Fri Oct 20 07:45:34 +0000 2023;1,71527E+18;Yuk, simak perkembangan tren kendaraan listrik di Indonesia beserta keuntungan penggunaannya dengan swipe postingan ini!  #KementerianInvestasi #InvestasiTumbuhIndonesiaMaju;0;0;0;0;in;106035510;1,71527E+18;bkpm;https://twitter.com/bkpm/status/1715273034494529773
Fri Oct 20 07:45:33 +0000 2023;1,71527E+18;Dengan segala upaya ini, diharapkan Indonesia dapat berkontribusi dalam menurunkan emisi karbon seiring dengan terus didorongnya penggunaan kendaraan listrik di tengah masyarakat. https://t.co/HHNnnlIMHQ;0;1;0;0;in;106035510;1,71527E+18;bkpm;https://twitter.com/bkpm/status/1715273031088849194
Fri Oct 20 07:45:32 +0000 2023;1,71527E+18;Hai #Investeam!  Tren kendaraan listrik di Indonesia terus berkembang pesat dari tahun ke tahun. Presiden Jokowi juga menetapkan Perpres Nomor 55 Tahun 2019 tentang percepatan program kendaraan bermotor listrik berbasis baterai (battery electric vehicle) untuk transportasi darat. https://t.co/dTQd897lFY;0;1;0;0;in;106035510;1,71527E+18;bkpm;https://twitter.com/bkpm/status/1715273024809877953
Fri Oct 20 07:20:04 +0000 2023;1,71527E+18;Kendaraan Listrik Indonesia Makin Diminati, Ini Buktinya https://t.co/Nuyvfb2Flc;0;2;0;0;in;41730943;1,71527E+18;VIVAcoid;https://twitter.com/VIVAcoid/status/1715266618669105391
Fri Oct 20 04:10:35 +0000 2023;1,71522E+18;Mendag Zulkifli Hasan Ajak Produksi Kendaraan Listrik di Indonesia https://t.co/TTjrfejZev #TempoNasional;0;3;0;2;in;18129942;1,71522E+18;tempodotco;https://twitter.com/tempodotco/status/1715218931366146511
Fri Oct 20 02:43:33 +0000 2023;1,7152E+18;Kemenperin dorong pengembangan ekosistem kendaraan listrik di Indonesia. Ini upayanya. https://t.co/SlbTgpnYtw;0;0;0;0;in;23343960;1,7152E+18;kompascom;https://twitter.com/kompascom/status/1715197029251703013
Thu Oct 19 23:50:53 +0000 2023;1,71515E+18;Agenda yang diselenggarakan oleh Bank Indonesia bersama KBRI Beijing ini bertujuan untuk meningkatkan investasi China ke Indonesia sekaligus mengakselerasi kerja sama di berbagai bidang, seperti industri kendaraan listrik, energi terbarukan, hingga IKN. https://t.co/JR3M2I5LA0;0;1;0;0;in;1,45542E+18;1,71515E+18;ikn_id;https://twitter.com/ikn_id/status/1715153578967613496
Thu Oct 19 09:55:18 +0000 2023;1,71494E+18;Percepat Ekosistem Kendaraan Listrik, Indonesia Punya 2 Pabrik Baterai https://t.co/rwYwwBqC6h via @vibizmediacom https://t.co/mrE524XsIX;0;0;0;0;in;2994206743;1,71494E+18;vibizmediacom;https://twitter.com/vibizmediacom/status/1714943295254880496
Thu Oct 19 09:47:38 +0000 2023;1,71494E+18;Percepat Ekosistem Kendaraan Listrik, Indonesia Punya 2 Pabrik Baterai https://t.co/rwYwwBqC6h via @vibizmediacom https://t.co/JARhZHzvTD;0;0;0;0;in;2994206743;1,71494E+18;vibizmediacom;https://twitter.com/vibizmediacom/status/1714941368240632031
Thu Oct 19 06:29:24 +0000 2023;1,71489E+18;Dalam rangka memastikan keberlanjutan ekonomi, pemerintah Indonesia mengimplementasikan kebijakan yang mendorong penggunaan transportasi umum, serta mempromosikan pengembangan kendaraan listrik #arsjadrasjid #ekonomihijau #inklusifkolaboratif https://t.co/GMaFrjmoPW;0;0;0;0;in;1,64257E+18;1,71489E+18;Aninditanoviaaa;https://twitter.com/Aninditanoviaaa/status/1714891478764528053
Thu Oct 19 05:57:29 +0000 2023;1,71488E+18;Pemimpin chip kecerdasan buatan (AI), Nvidia berkolaborasi dengan Foxconn guna mengembangkan pabrik-pabrik AI untuk meningkatkan kendaraan listrik masa depan dan membuat kendaraan otonom (AV) lebih aman, kata CEO Nvidia Jensen Huang di Taipei, pada Rabu (18/10). https://t.co/6FznHzT52N;0;1;0;0;in;1,4528E+18;1,71488E+18;RadioTaiwan_IDN;https://twitter.com/RadioTaiwan_IDN/status/1714883447343534450
