full_text,cleansing,Tokenization and Case Folding,stopword removal,stemming_data
"APPI Sebut Kredit Kendaraan Listrik Masih Kecil, Kenapa Ya? https://t.co/MiMQkiTxvo",APPI Sebut Kredit Kendaraan Listrik Masih Kecil Kenapa Ya,"['appi', 'sebut', 'kredit', 'kendaraan', 'listrik', 'masih', 'kecil', 'kenapa', 'ya']","['appi', 'kredit', 'kendaraan', 'listrik', 'ya']",appi kredit kendara listrik yaa
Lagi pula kita lagi pelan2 migrasi ke kendaraan listrik.  Kenapa?  Cadangan minyak bumi Indonesia udh mau abis. Klo abis gimana? Hrs impor. Mahal lagi biayanya. Trs lu orang msh minta subsidi. Uangnya dari mana? Ngutang protes. Subsidi ditarik protes. Lu orang maunya apa?,Lagi pula kita lagi pelan migrasi ke kendaraan listrik  Kenapa  Cadangan minyak bumi Indonesia udh mau abis Klo abis gimana Hrs impor Mahal lagi biayanya Trs lu orang msh minta subsidi Uangnya dari mana Ngutang protes Subsidi ditarik protes Lu orang maunya apa,"['lagi', 'pula', 'kita', 'lagi', 'pelan', 'migrasi', 'ke', 'kendaraan', 'listrik', 'kenapa', 'cadangan', 'minyak', 'bumi', 'indonesia', 'udh', 'mau', 'abis', 'klo', 'abis', 'gimana', 'hrs', 'impor', 'mahal', 'lagi', 'biayanya', 'trs', 'lu', 'orang', 'msh', 'minta', 'subsidi', 'uangnya', 'dari', 'mana', 'ngutang', 'protes', 'subsidi', 'ditarik', 'protes', 'lu', 'orang', 'maunya', 'apa']","['pelan', 'migrasi', 'kendaraan', 'listrik', 'cadangan', 'minyak', 'bumi', 'indonesia', 'udh', 'abis', 'klo', 'abis', 'gimana', 'hrs', 'impor', 'mahal', 'biayanya', 'trs', 'lu', 'orang', 'msh', 'subsidi', 'uangnya', 'ngutang', 'protes', 'subsidi', 'ditarik', 'protes', 'lu', 'orang', 'maunya']",pelan migrasi kendara listrik cadang minyak bumi indonesia udh abis klo abis gimana hrs impor mahal biaya trs lu orang msh subsidi uang ngutang protes subsidi tarik protes lu orang mau
"ABeam Consulting Indonesia Terbitkan Laporan untuk Tingkatkan Penggunaan Kendaraan Listrik di Indonesia Sabtu, 21/10/2023, 09:40 WIB https://t.co/qRLJygNx18",ABeam Consulting Indonesia Terbitkan Laporan untuk Tingkatkan Penggunaan Kendaraan Listrik di Indonesia Sabtu   WIB,"['abeam', 'consulting', 'indonesia', 'terbitkan', 'laporan', 'untuk', 'tingkatkan', 'penggunaan', 'kendaraan', 'listrik', 'di', 'indonesia', 'sabtu', 'wib']","['abeam', 'consulting', 'indonesia', 'terbitkan', 'laporan', 'tingkatkan', 'penggunaan', 'kendaraan', 'listrik', 'indonesia', 'sabtu', 'wib']",abeam consulting indonesia terbit lapor tingkat guna kendara listrik indonesia sabtu wib
"Kendaraan Listrik Tetap Keluarkan Emisi, Kok Bisa? https://t.co/SuifLobqqv",Kendaraan Listrik Tetap Keluarkan Emisi Kok Bisa,"['kendaraan', 'listrik', 'tetap', 'keluarkan', 'emisi', 'kok', 'bisa']","['kendaraan', 'listrik', 'keluarkan', 'emisi']",kendara listrik keluar emisi
Mendag @ZUL_Hasan mengajak para produsen kendaraan listrik Tiongkok untuk berproduksi di Indonesia.   #NegosiasiDagang #AyoDagang https://t.co/gJofoghRvW,Mendag ZULHasan mengajak para produsen kendaraan listrik Tiongkok untuk berproduksi di Indonesia   NegosiasiDagang AyoDagang,"['mendag', 'zulhasan', 'mengajak', 'para', 'produsen', 'kendaraan', 'listrik', 'tiongkok', 'untuk', 'berproduksi', 'di', 'indonesia', 'negosiasidagang', 'ayodagang']","['mendag', 'zulhasan', 'mengajak', 'produsen', 'kendaraan', 'listrik', 'tiongkok', 'berproduksi', 'indonesia', 'negosiasidagang', 'ayodagang']",mendag zulhasan ajak produsen kendara listrik tiongkok produksi indonesia negosiasidagang ayodagang
Mendag Zulhas Rayu China untuk Produksi Kendaraan Listrik di Indonesia https://t.co/vI7zz9S25L,Mendag Zulhas Rayu China untuk Produksi Kendaraan Listrik di Indonesia,"['mendag', 'zulhas', 'rayu', 'china', 'untuk', 'produksi', 'kendaraan', 'listrik', 'di', 'indonesia']","['mendag', 'zulhas', 'rayu', 'china', 'produksi', 'kendaraan', 'listrik', 'indonesia']",mendag zulhas rayu china produksi kendara listrik indonesia
Pertemuan Indonesia dengan China (Chongqing) terkait industri kendaraan listrik menjadi peluang yang sangat baik bagi Indonesia dengan China untuk berinovasi dan meningkatkan ekonomi kedua negara. #bambangsuwarso #indonesiachina #EnergiTerbarukan  #indonesiaemas2045 https://t.co/KNDYbIIBit,Pertemuan Indonesia dengan China Chongqing terkait industri kendaraan listrik menjadi peluang yang sangat baik bagi Indonesia dengan China untuk berinovasi dan meningkatkan ekonomi kedua negara bambangsuwarso indonesiachina EnergiTerbarukan  indonesiaemas,"['pertemuan', 'indonesia', 'dengan', 'china', 'chongqing', 'terkait', 'industri', 'kendaraan', 'listrik', 'menjadi', 'peluang', 'yang', 'sangat', 'baik', 'bagi', 'indonesia', 'dengan', 'china', 'untuk', 'berinovasi', 'dan', 'meningkatkan', 'ekonomi', 'kedua', 'negara', 'bambangsuwarso', 'indonesiachina', 'energiterbarukan', 'indonesiaemas']","['pertemuan', 'indonesia', 'china', 'chongqing', 'terkait', 'industri', 'kendaraan', 'listrik', 'peluang', 'indonesia', 'china', 'berinovasi', 'meningkatkan', 'ekonomi', 'negara', 'bambangsuwarso', 'indonesiachina', 'energiterbarukan', 'indonesiaemas']",temu indonesia china chongqing kait industri kendara listrik peluang indonesia china inovasi tingkat ekonomi negara bambangsuwarso indonesiachina energiterbarukan indonesiaemas
Hasil Survei Kecemasan Warga Indonesia Soal Kendaraan Listrik https://t.co/kmxlPlCsej,Hasil Survei Kecemasan Warga Indonesia Soal Kendaraan Listrik,"['hasil', 'survei', 'kecemasan', 'warga', 'indonesia', 'soal', 'kendaraan', 'listrik']","['hasil', 'survei', 'kecemasan', 'warga', 'indonesia', 'kendaraan', 'listrik']",hasil survei cemas warga indonesia kendara listrik
"Bidang investasi hilirisasi mencakup mineral, pertanian, kehutanan, migas, dan kendaraan listrik. https://t.co/1wjO6OXBKC",Bidang investasi hilirisasi mencakup mineral pertanian kehutanan migas dan kendaraan listrik,"['bidang', 'investasi', 'hilirisasi', 'mencakup', 'mineral', 'pertanian', 'kehutanan', 'migas', 'dan', 'kendaraan', 'listrik']","['bidang', 'investasi', 'hilirisasi', 'mencakup', 'mineral', 'pertanian', 'kehutanan', 'migas', 'kendaraan', 'listrik']",bidang investasi hilir cakup mineral tani hutan migas kendara listrik
"Sudah saatnya Indonesia punya mobil listrik, Menteri Perdagangan  Zulkifli Hasan menawarkan NIO untuk menjadi mobil listrik Indonesia yang diproduksi di dalam negeri   Ini untuk memastikan masyarakat bisa mendapatkan kendaraan listrik berkualitas dengan harga terjangkau https://t.co/jfB3iUmQjD",Sudah saatnya Indonesia punya mobil listrik Menteri Perdagangan  Zulkifli Hasan menawarkan NIO untuk menjadi mobil listrik Indonesia yang diproduksi di dalam negeri   Ini untuk memastikan masyarakat bisa mendapatkan kendaraan listrik berkualitas dengan harga terjangkau,"['sudah', 'saatnya', 'indonesia', 'punya', 'mobil', 'listrik', 'menteri', 'perdagangan', 'zulkifli', 'hasan', 'menawarkan', 'nio', 'untuk', 'menjadi', 'mobil', 'listrik', 'indonesia', 'yang', 'diproduksi', 'di', 'dalam', 'negeri', 'ini', 'untuk', 'memastikan', 'masyarakat', 'bisa', 'mendapatkan', 'kendaraan', 'listrik', 'berkualitas', 'dengan', 'harga', 'terjangkau']","['indonesia', 'mobil', 'listrik', 'menteri', 'perdagangan', 'zulkifli', 'hasan', 'menawarkan', 'nio', 'mobil', 'listrik', 'indonesia', 'diproduksi', 'negeri', 'masyarakat', 'kendaraan', 'listrik', 'berkualitas', 'harga', 'terjangkau']",indonesia mobil listrik menteri dagang zulkifli hasan tawar nio mobil listrik indonesia produksi negeri masyarakat kendara listrik kualitas harga jangkau
